--
-- Fichier généré par SQLiteStudio v3.4.10 sur ven. août 29 12:39:40 2025
--
-- Encodage texte utilisé : System
--
PRAGMA foreign_keys = off;
BEGIN TRANSACTION;

-- Tableau : Finance
DROP TABLE IF EXISTS Finance;
CREATE TABLE IF NOT EXISTS Finance (Key_Finance VARCHAR NOT NULL, Date DATE NOT NULL, SKU TEXT NOT NULL, Taxe_Statut VARCHAR NOT NULL, Onsale_Web BOOLEAN NOT NULL, Price NUMERIC NOT NULL, Purchase_Price NUMERIC NOT NULL, CONSTRAINT Key_Finance PRIMARY KEY (Key_Finance));
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14692', '2022-10-01', '14692', 'taxable', 1, '21,7', '10,65');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15448', '2022-10-01', '15448', 'taxable', 1, '10,1', '4,96');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15441', '2022-10-01', '15441', 'taxable', 1, '10,8', '5,58');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_804', '2022-10-01', '804', 'taxable', 1, '52,4', '27,61');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16071', '2022-10-01', '16071', 'taxable', 1, '32,8', '16,95');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_12882', '2022-10-01', '12882', 'taxable', 1, '17,7', '9,42');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16053', '2022-10-01', '16053', 'taxable', 1, '20,2', '10,65');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13766', '2022-10-01', '13766', 'taxable', 1, '59,8', '27,96');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_12640', '2022-10-01', '12640', 'taxable', 1, 59, '28,12');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15476', '2022-10-01', '15476', 'taxable', 1, '43,9', '22,91');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16038', '2022-10-01', '16038', 'taxable', 1, 17, '8,78');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14864', '2022-10-01', '14864', 'taxable', 1, '14,9', '7,78');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16044', '2022-10-01', '16044', 'taxable', 1, '22,8', '11,78');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15324', '2022-10-01', '15324', 'taxable', 1, '26,7', '13,8');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15413', '2022-10-01', '15413', 'taxable', 1, 23, '11,65');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13809', '2022-10-01', '13809', 'taxable', 1, '17,3', '8,76');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15895', '2022-10-01', '15895', 'taxable', 1, '17,2', '8,8');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15849', '2022-10-01', '15849', 'taxable', 1, '16,5', '8,53');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_12315', '2022-10-01', '12315', 'taxable', 1, 39, '21,16');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15934', '2022-10-01', '15934', 'taxable', 1, '6,3', '3,29');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15148', '2022-10-01', '15148', 'taxable', 1, '32,2', '16,47');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15781', '2022-10-01', '15781', 'taxable', 1, '15,4', '7,88');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15106', '2022-10-01', '15106', 'taxable', 1, '11,1', '5,68');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15490', '2022-10-01', '15490', 'taxable', 1, 22, '11,37');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14507', '2022-10-01', '14507', 'taxable', 1, 78, '40,7');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16307', '2022-10-01', '16307', 'taxable', 1, '15,2', '7,54');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13736', '2022-10-01', '13736', 'taxable', 1, '12,8', '6,68');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16037', '2022-10-01', '16037', 'taxable', 1, '25,3', '12,55');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_12587', '2022-10-01', '12587', 'taxable', 1, '79,5', '45,91');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16305', '2022-10-01', '16305', 'taxable', 1, '10,2', '5,16');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16131', '2022-10-01', '16131', 'taxable', 1, '33,4', '16,57');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13435', '2022-10-01', '13435', 'taxable', 1, 44, '22,28');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15758', '2022-10-01', '15758', 'taxable', 1, '11,6', '5,75');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14509', '2022-10-01', '14509', 'taxable', 1, 78, '42,32');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14768', '2022-10-01', '14768', 'taxable', 1, 44, '21,18');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16505', '2022-10-01', '16505', 'taxable', 1, '16,3', 8);
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15871', '2022-10-01', '15871', 'taxable', 1, '59,4', '29,77');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_11602', '2022-10-01', '11602', 'taxable', 1, 105, '56,42');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13127', '2022-10-01', '13127', 'taxable', 1, '44,3', '22,2');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13520', '2022-10-01', '13520', 'taxable', 1, '57,7', '30,11');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13032', '2022-10-01', '13032', 'taxable', 1, '27,2', '14,05');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15436', '2022-10-01', '15436', 'taxable', 1, 28, '14,47');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15910', '2022-10-01', '15910', 'taxable', 1, '24,7', '12,76');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16263', '2022-10-01', '16263', 'taxable', 1, '9,3', '4,76');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15138', '2022-10-01', '15138', 'taxable', 1, '11,5', '5,64');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16580', '2022-10-01', '16580', 'taxable', 1, '25,2', '13,15');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13905', '2022-10-01', '13905', 'taxable', 1, '17,1', '9,01');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13557', '2022-10-01', '13557', 'taxable', 1, '10,8', '5,69');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14975', '2022-10-01', '14975', 'taxable', 1, '32,7', '17,57');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15341', '2022-10-01', '15341', 'taxable', 1, '25,7', '13,01');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15415', '2022-10-01', '15415', 'taxable', 1, '9,9', '5,01');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16065', '2022-10-01', '16065', 'taxable', 1, '38,6', '20,34');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15479', '2022-10-01', '15479', 'taxable', 1, '41,8', '22,03');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16151', '2022-10-01', '16151', 'taxable', 1, '16,1', '8,57');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15127', '2022-10-01', '15127', 'taxable', 1, '73,3', '37,87');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15140', '2022-10-01', '15140', 'taxable', 1, '13,7', '7,36');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15779', '2022-10-01', '15779', 'taxable', 1, '28,4', '14,67');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_9937', '2022-10-01', '9937', 'taxable', 1, '25,7', '12,75');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15281', '2022-10-01', '15281', 'taxable', 1, '29,8', '15,09');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15315', '2022-10-01', '15315', 'taxable', 1, '11,9', '6,46');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15668', '2022-10-01', '15668', 'taxable', 1, '9,3', '4,9');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15161', '2022-10-01', '15161', 'taxable', 1, '20,4', '10,96');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15792', '2022-10-01', '15792', 'taxable', 1, '32,2', '16,8');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15921', '2022-10-01', '15921', 'taxable', 1, '71,3', '36,84');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15870', '2022-10-01', '15870', 'taxable', 1, '48,7', '24,91');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15690', '2022-10-01', '15690', 'taxable', 1, '18,9', '9,57');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15561', '2022-10-01', '15561', 'taxable', 1, '5,8', '3,09');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15539', '2022-10-01', '15539', 'taxable', 1, '13,5', '7,18');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16320', '2022-10-01', '16320', 'taxable', 1, '11,9', '6,27');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_3509', '2022-10-01', '3509', 'taxable', 1, 104, '46,71');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_2534', '2022-10-01', '2534', 'taxable', 1, '52,4', '27,07');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_11586', '2022-10-01', '11586', 'taxable', 1, '49,5', '22,01');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14819', '2022-10-01', '14819', 'taxable', 1, 12, '6,26');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15705', '2022-10-01', '15705', 'taxable', 1, 29, '15,28');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15254', '2022-10-01', '15254', 'taxable', 1, '33,6', '16,49');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15554', '2022-10-01', '15554', 'taxable', 1, '22,2', '11,93');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14451', '2022-10-01', '14451', 'taxable', 1, '18,1', '9,45');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16274', '2022-10-01', '16274', 'taxable', 1, '9,8', '5,16');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14696', '2022-10-01', '14696', 'taxable', 1, '19,8', '10,43');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14573', '2022-10-01', '14573', 'taxable', 1, '10,6', '5,42');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16238', '2022-10-01', '16238', 'taxable', 1, '19,2', '9,52');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15834', '2022-10-01', '15834', 'taxable', 1, 46, 24);
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15141', '2022-10-01', '15141', 'taxable', 1, '9,8', '4,91');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15038', '2022-10-01', '15038', 'taxable', 1, '20,6', '10,22');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15238', '2022-10-01', '15238', 'taxable', 1, '16,6', '9,01');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16586', '2022-10-01', '16586', 'taxable', 1, '7,1', '3,67');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15664', '2022-10-01', '15664', 'taxable', 1, '15,8', '8,49');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14527', '2022-10-01', '14527', 'taxable', 1, '17,6', '9,46');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15707', '2022-10-01', '15707', 'taxable', 1, 72, '35,71');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15269', '2022-10-01', '15269', 'taxable', 1, 80, '40,92');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14845', '2022-10-01', '14845', 'taxable', 1, '38,4', '19,05');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14700', '2022-10-01', '14700', 'taxable', 1, '32,6', '17,35');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15440', '2022-10-01', '15440', 'taxable', 1, '22,9', '11,95');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15759', '2022-10-01', '15759', 'taxable', 1, '8,9', '4,74');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_11277', '2022-10-01', '11277', 'taxable', 1, 24, '12,9');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15676', '2022-10-01', '15676', 'taxable', 1, '13,7', '7,15');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15731', '2022-10-01', '15731', 'taxable', 1, '12,3', '6,29');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16525', '2022-10-01', '16525', 'taxable', 1, '28,5', '14,14');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15785', '2022-10-01', '15785', 'taxable', 1, '14,3', '7,24');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14699', '2022-10-01', '14699', 'taxable', 1, '31,6', '17,14');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15718', '2022-10-01', '15718', 'taxable', 1, '58,8', '29,16');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14372', '2022-10-01', '14372', 'taxable', 1, '30,6', '16,44');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15881', '2022-10-01', '15881', 'taxable', 1, '12,1', '6,56');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15426', '2022-10-01', '15426', 'taxable', 1, '28,1', '15,24');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_16023', '2022-10-01', '16023', 'taxable', 1, '6,7', '3,63');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_14661', '2022-10-01', '14661', 'taxable', 1, '12,7', '6,23');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15675', '2022-10-01', '15675', 'taxable', 1, '12,8', '6,48');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15351', '2022-10-01', '15351', 'taxable', 1, '49,5', '25,06');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_12791', '2022-10-01', '12791', 'taxable', 1, 105, '55,88');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13958', '2022-10-01', '13958', 'taxable', 1, '34,3', '17,9');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15669', '2022-10-01', '15669', 'taxable', 1, '54,8', '27,18');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_11849', '2022-10-01', '11849', 'taxable', 1, 49, '24,81');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15461', '2022-10-01', '15461', 'taxable', 1, '11,1', '5,85');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15577', '2022-10-01', '15577', 'taxable', 1, '8,7', '4,5');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_12639', '2022-10-01', '12639', 'taxable', 1, 59, '27,31');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15466', '2022-10-01', '15466', 'taxable', 1, '22,8', '11,54');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_15184', '2022-10-01', '15184', 'taxable', 1, '38,4', '20,04');
INSERT INTO Finance (Key_Finance, Date, SKU, Taxe_Statut, Onsale_Web, Price, Purchase_Price) VALUES ('2022-10_13904', '2022-10-01', '13904', 'taxable', 1, '16,1', '8,32');
