id_client;sexe;metier;employeur;revenus;nombre_enfants;type_vehicule;age_vehicule;points_perdus;formule;date_demande;Id_Random;Intervalle_Revenu;Ville;Enfants en charge
931284804;M;collaborateur de notaire de notaire;Poulain;;0;Minivan;;1;dev_express;13/04/2022;DX0277615;Inconnu;Bourges;Non
384628643;F;architecte réseaux;Arnaud;49780;0;Sports Car;1.0;0;dev_integral;22/03/2022;KQ0282700;[40k€, 60k€];Louverné;Non
922808394;F;styliste;Gimenez et Fils;76443;0;z_SUV;;5;dev_integral;22/04/2022;YS0297185;[60k€, 100k€];Saint-Gence;Non
934739805;F;huissier de justice;Huet Wagner S.A.R.L.;59148;0;z_SUV;1.0;0;dev_vip;23/03/2022;DP0301431;[40k€, 60k€];Herblay;Non
290532681;F;agronome;Marques S.A.;108701;0;z_SUV;17.0;0;dev_premium;12/02/2022;AC0313176;[100k€, 150k€];Courtine;Non
334788395;F;technico-commercial en agroalimentaire;Berthelot Lopes S.A.R.L.;36947;2;z_SUV;1.0;0;dev_express;14/01/2022;QI0321351;[20k€, 40k€];Vineuil-Saint-Firmin;Oui
645904097;M;conducteur de travaux;Navarro et Fils;27581;2;Minivan;5.0;6;dev_integral;09/04/2022;FD0332022;[20k€, 40k€];Cosne-Cours-sur-Loire;Oui
160311489;F;ingénieur en génie climatique;Roche Dijoux S.A.R.L.;116043;0;z_SUV;9.0;3;dev_express;23/03/2022;KY0349719;[100k€, 150k€];Noidans-le-Ferroux;Non
944419063;M;biostatisticien;Hebert;32159;0;z_SUV;6.0;2;dev_premium;04/02/2022;IB0354723;[20k€, 40k€];Juigné-sur-Loire;Non
594467420;M;technicien d'analyses biomédicales;Gautier Joseph S.A.;74022;2;Sports Car;12.0;0;dev_express;05/02/2022;QF0369588;[60k€, 100k€];Ribemont;Oui
999482663;F;ingénieur de recherche clinique et épidémiologique;Rocher;22633;0;z_SUV;9.0;0;dev_integral;08/02/2022;XQ0377932;[20k€, 40k€];Veyrier-du-Lac;Non
125992610;F;responsable du service après-vente;Olivier;33713;0;Sports Car;15.0;0;dev_express;06/02/2022;WA0382296;[20k€, 40k€];Neuvecelle;Non
294957776;F;sellier;Sanchez S.A.;94325;3;z_SUV;14.0;2;dev_integral;09/02/2022;TW0397307;[60k€, 100k€];Stains;Oui
234108296;F;responsable du back office;Ledoux;157237;0;Minivan;15.0;0;dev_integral;26/05/2022;WH0403251;[150k€ et +];Taillecourt;Non
858966351;M;maroquinier;Léger;51737;0;z_SUV;11.0;1;dev_premium;04/03/2022;SW0415734;[40k€, 60k€];Thuillières;Non
737298009;F;professeur de collège et de lycée;Texier;;2;Sports Car;10.0;0;dev_express;31/05/2022;ID0422370;Inconnu;Vauréal;Oui
716232766;F;éducateur de la protection judiciaire de la jeunesse (PJJ);Chrétien;4478;4;z_SUV;8.0;5;dev_express;30/04/2022;YC0431418;[0, 20k€];Fréjus;Oui
137443614;M;conducteur de travaux;Moreau;5952;1;Pickup;10.0;0;dev_express;20/03/2022;AH0443008;[0, 20k€];Troyes;Oui
417088161;F;collecteur de fonds;Michel;52950;2;Pickup;;0;dev_premium;02/04/2022;UK0455203;[40k€, 60k€];Marzy;Oui
976068152;M;commerçant en alimentation;Klein Lemaître S.A.R.L.;75432;0;z_SUV;13.0;0;dev_integral;02/01/2022;WX0463047;[60k€, 100k€];Offemont;Non
786289554;F;mécanicien bateaux;Martineau Nicolas S.A.S.;97103;0;z_SUV;15.0;4;dev_express;24/02/2022;NJ0475418;[60k€, 100k€];Guéret;Non
16380140;M;technicien électronicien électronicienne;Merle Lenoir S.A.;0;1;z_SUV;1.0;1;dev_express;05/04/2022;AI0485648;Inconnu;Clamart;Oui
443540965;F;hôtesse de l'air;Antoine SARL;140766;0;Panel Truck;13.0;1;dev_integral;21/02/2022;PG0492176;[100k€, 150k€];Audincourt;Non
380033719;M;responsable du back office;Marie Mary S.A.;80997;0;Van;7.0;0;dev_integral;21/03/2022;BE0508065;[60k€, 100k€];Incarville;Non
490636474;F;directeur d'hôpital;Dubois;54159;2;Van;1.0;1;dev_integral;03/04/2022;HX0518343;[40k€, 60k€];Lanester;Oui
220536762;F;tailleur de pierre;Gaillard;28341;0;Pickup;1.0;7;dev_integral;28/03/2022;HK0528294;[20k€, 40k€];Laval;Non
466727453;F;rédacteur on line;Maillard S.A.S.;46453;3;Minivan;5.0;1;dev_express;21/03/2022;AP0532265;[40k€, 60k€];Séguinière;Oui
670054779;M;géologue minier;Renault Nicolas SARL;100822;0;Minivan;7.0;0;dev_express;23/05/2022;ZN0543959;[100k€, 150k€];Perpignan;Non
303541974;F;conducteur de travaux  agricoles;Vallet;57063;0;Sports Car;19.0;0;dev_express;03/05/2022;FJ0556710;[40k€, 60k€];Caux-et-Sauzens;Non
522831508;F;gestionnaire de données cliniques;Arnaud Bègue et Fils;76150;0;Minivan;8.0;5;dev_express;11/04/2022;CU0566420;[60k€, 100k€];Bretoncelles;Non
185382071;M;sapeur-pompier;Moreno;77012;0;Van;13.0;0;dev_premium;05/01/2022;VL0575101;[60k€, 100k€];Annonay;Non
296809989;F;technicien de la circulation ferroviaire SNCF;Schneider;45105;1;Van;9.0;4;dev_integral;14/05/2022;SY0586035;[40k€, 60k€];Pélussin;Oui
176300530;M;dessinateur-projeteur;Moreno;69625;0;z_SUV;12.0;2;dev_express;20/04/2022;ED0592732;[60k€, 100k€];Paris;Non
105813423;F;credit manager;Payet Bertrand S.A.;30043;3;Van;1.0;0;dev_express;22/01/2022;WJ0606035;[20k€, 40k€];Saint-Just-Saint-Rambert;Oui
305504579;F;rédacteur on line;Masson;34116;2;Sports Car;7.0;1;dev_express;26/04/2022;OU0617403;[20k€, 40k€];Labastide-Rouairoux;Oui
726219892;F;agent de propreté urbaine;Morvan;86596;0;Minivan;16.0;0;dev_integral;23/03/2022;TN0624869;[60k€, 100k€];Liverdun;Non
790543950;F;chargé de veille législative et réglementaire;Besnard S.A.S.;40760;0;Pickup;8.0;0;dev_express;27/04/2022;JL0632797;[40k€, 60k€];Calonne-Ricouart;Non
317314544;F;guide-conférencier;Couturier Paul SARL;68493;2;Van;5.0;0;dev_integral;24/05/2022;GU0646525;[60k€, 100k€];Saint-Bonnet-lès-Allier;Oui
992004739;F;conducteur de machines à papier;Didier S.A.;25544;1;Sports Car;1.0;0;dev_express;09/05/2022;UM0655945;[20k€, 40k€];Vayrac;Oui
845009116;F;assistant maternel maternelle;Marques;16536;0;z_SUV;6.0;0;dev_integral;22/04/2022;IY0667285;[0, 20k€];Tourlaville;Non
143078256;M;professeur dans l'enseignement agricole;Hubert;65298;0;z_SUV;1.0;5;dev_express;17/05/2022;GP0674577;[60k€, 100k€];Floirac;Non
437006760;M;avocat;Tessier Clément SA;83569;0;Pickup;7.0;0;dev_express;01/05/2022;YK0683733;[60k€, 100k€];Lignol;Non
788829442;M;pharmacien;Petit Sauvage S.A.;5420;0;Minivan;5.0;3;dev_express;29/05/2022;WV0693358;[0, 20k€];Pantin;Non
665180201;M;assistant dentaire;Étienne S.A.;23109;1;z_SUV;13.0;2;dev_express;04/04/2022;QM0704853;[20k€, 40k€];Guéret;Oui
554270628;F;dépanneur en électroménager;Legros Wagner SA;85731;0;Pickup;3.0;1;dev_integral;27/01/2022;FK0713060;[60k€, 100k€];Varennes-Vauzelles;Non
323105809;F;ingénieur frigoriste;Cousin;77267;0;z_SUV;9.0;0;dev_integral;13/01/2022;QT0725320;[60k€, 100k€];Monistrol-sur-Loire;Non
316861921;M;responsable de laboratoire de recherche;Marchand S.A.R.L.;198600;0;z_SUV;12.0;2;dev_express;08/01/2022;WL0738408;[150k€ et +];Montauban;Non
279632339;M;responsable de production alimentaire;David et Fils;94082;0;Minivan;9.0;2;dev_integral;05/04/2022;JP0749724;[60k€, 100k€];Pontivy;Non
954212606;F;prothésiste dentaire;Foucher;77222;2;Minivan;9.0;2;dev_premium;14/02/2022;AC0751442;[60k€, 100k€];Saint-Clément-des-Baleines;Oui
1900527;M;ascensoriste;Couturier Perrin et Fils;48866;0;Pickup;8.0;0;dev_express;14/01/2022;XC0764531;[40k€, 60k€];Bois-d'Amont;Non
958601721;F;coiffeur;Collin Durand SA;114507;0;z_SUV;18.0;1;dev_integral;20/04/2022;MC0779404;[100k€, 150k€];Borgo;Non
827178489;F;architecte des systèmes d'information;Martineau;70682;0;Minivan;1.0;5;dev_express;10/05/2022;ND0789113;[60k€, 100k€];Bourg-en-Bresse;Non
194669970;M;responsable de laboratoire de contrôle en chimie;Langlois;40862;0;Panel Truck;11.0;4;dev_premium;24/01/2022;DK0797050;[40k€, 60k€];Bon-Encontre;Non
640048389;F;ingénieur recherche et développement en agroalimentaire;Leroy Leblanc S.A.;47625;0;Minivan;6.0;4;dev_express;01/02/2022;IV0802934;[40k€, 60k€];Balma;Non
606191446;M;formulateur;Charpentier S.A.R.L.;113845;0;Minivan;1.0;1;dev_premium;20/04/2022;OI0814418;[100k€, 150k€];Saint-Chély-d'Apcher;Non
664499270;M;agent de constatation des douanes;Gauthier S.A.R.L.;5109;0;Sports Car;3.0;0;dev_express;02/01/2022;FM0824419;[0, 20k€];Lachapelle-sous-Chaux;Non
642975749;M;administrateur judiciaire;Jacquot S.A.;102262;0;Van;8.0;0;dev_express;18/02/2022;US0836319;[100k€, 150k€];Villeneuve;Non
542062164;F;responsable de production alimentaire;Regnier SARL;39584;1;z_SUV;4.0;0;dev_express;27/04/2022;GK0845431;[20k€, 40k€];Viriat;Oui
270119970;M;cryptologue;Camus Arnaud SA;13753;0;Sports Car;;1;dev_express;09/05/2022;KT0859090;[0, 20k€];Colomiers;Non
752309500;M;agent de développement touristique;Bourdon;57134;0;Pickup;8.0;2;dev_express;14/01/2022;CL0864755;[40k€, 60k€];Condé-sur-Sarthe;Non
296960793;M;développeur économique;Le Roux;49838;0;Minivan;9.0;0;dev_express;30/03/2022;AV0871621;[40k€, 60k€];Machine;Non
377628766;M;enseignant d'art;Marchal;;0;Minivan;17.0;0;dev_premium;25/01/2022;ES0886963;Inconnu;Saint-Jean-de-Verges;Non
109627178;F;conseiller en séjour;Fernandez et Fils;22938;2;z_SUV;1.0;0;dev_express;28/05/2022;TM0897487;[20k€, 40k€];Mende;Oui
314006147;M;géochimiste;Besson S.A.R.L.;47417;0;Minivan;13.0;0;dev_premium;12/02/2022;QZ0902531;[40k€, 60k€];Villars;Non
329152754;M;hydrogéologue;Aubert SA;40180;2;Sports Car;2.0;0;dev_integral;11/01/2022;DE0911384;[40k€, 60k€];Vallières-les-Grandes;Oui
251851062;M;juge d'instruction;Nicolas S.A.S.;55258;0;Minivan;1.0;3;dev_express;15/04/2022;NT0922176;[40k€, 60k€];Orschwiller;Non
938303236;F;chef de projet multimédia;Roux;24178;1;Minivan;1.0;1;dev_premium;28/03/2022;XZ0938097;[20k€, 40k€];Saleux;Oui
134426064;F;toiletteur d'animaux;Valentin;81940;0;Sports Car;1.0;6;dev_premium;26/02/2022;AP0946174;[60k€, 100k€];Forcalquier;Non
448101140;M;modéliste;Gilles S.A.;51624;0;Van;1.0;0;dev_express;17/01/2022;PD0954569;[40k€, 60k€];Tronville-en-Barrois;Non
809433095;F;ascensoriste;Thibault;61666;0;Pickup;11.0;4;dev_integral;16/04/2022;VR0962024;[60k€, 100k€];Vaison-la-Romaine;Non
943460621;F;miroitier;Hebert;37721;0;Pickup;5.0;1;dev_integral;12/01/2022;HD0978133;[20k€, 40k€];Meillerie;Non
426770568;M;géomaticien;Chauveau;32265;0;Minivan;1.0;7;dev_express;23/03/2022;JJ0988012;[20k€, 40k€];Orléans;Non
877092530;F;conseiller agricole;Blot S.A.R.L.;57925;3;Minivan;6.0;0;dev_integral;17/04/2022;YO0996577;[40k€, 60k€];Mont-de-Marsan;Oui
300696853;M;guichetier;Huet;65901;2;Van;8.0;1;dev_integral;05/05/2022;LD1003701;[60k€, 100k€];Montrozier;Oui
819681380;M;conducteur de bus ou d'autocar;Lebon Noël SARL;64617;0;z_SUV;1.0;0;dev_integral;28/02/2022;VP1014097;[60k€, 100k€];Briollay;Non
915517588;M;mécatronicien;Boyer;10758;2;Pickup;12.0;2;dev_integral;12/02/2022;MM1027332;[0, 20k€];Barcus;Oui
131312301;F;conducteur de travaux;Albert Besson et Fils;58184;1;Minivan;1.0;0;dev_integral;07/01/2022;NG1033521;[40k€, 60k€];Montmerle-sur-Saône;Oui
861285967;M;agent d'exploitation de l'eau;Delahaye Roy SA;122934;0;Minivan;11.0;6;dev_integral;07/01/2022;MC1041383;[100k€, 150k€];Brive-la-Gaillarde;Non
918559086;M;paléontologue;Schneider S.A.;210811;0;Panel Truck;17.0;4;dev_express;12/01/2022;RR1054666;[150k€ et +];Onet-le-Château;Non
64779757;M;dépanneur en électroménager;Huet et Fils;73056;0;Minivan;12.0;1;dev_premium;24/05/2022;HY1064012;[60k€, 100k€];Saint-Chaffrey;Non
281256236;M;employé d'élevage;Rivière;;2;Panel Truck;14.0;0;dev_integral;25/03/2022;DJ1075695;Inconnu;Saint-Benoît;Oui
528698470;F;chef de projet sites et sols pollués;Briand Rodrigues S.A.;19237;1;Minivan;5.0;0;dev_integral;02/01/2022;GP1089819;[0, 20k€];Essards;Oui
643171611;M;ingénieur analyste de l'air;Tanguy;69483;3;Minivan;12.0;1;dev_integral;01/03/2022;GW1093753;[60k€, 100k€];Orgères-en-Beauce;Oui
430670098;F;magistrat;Huet Philippe S.A.;132463;2;Minivan;11.0;5;dev_express;28/01/2022;TS1101123;[100k€, 150k€];Fraissinet-de-Lozère;Oui
64308498;M;consultant en solutions intégrées;Baron;13692;0;z_SUV;9.0;0;dev_premium;29/04/2022;OQ1114951;[0, 20k€];Guilers;Non
937660052;M;chef de projet éolien;Morvan Dumont SARL;71263;0;z_SUV;9.0;0;dev_integral;20/01/2022;MH1121798;[60k€, 100k€];Portet-sur-Garonne;Non
994894155;M;esthéticien-cosméticien;Perrot;109631;1;Minivan;12.0;0;dev_express;06/05/2022;WV1135071;[100k€, 150k€];Miramas;Oui
384934557;M;mécanicien-réparateur en matériel agricole;Goncalves S.A.;6478;1;z_SUV;8.0;0;dev_express;14/03/2022;BC1148790;[0, 20k€];Chapelle-Saint-Mesmin;Oui
726538399;F;chargé hygiène sécurité environnement (HSE);Joly;48088;1;Minivan;6.0;2;dev_express;20/03/2022;PD1157295;[40k€, 60k€];Fontaine-lès-Luxeuil;Oui
233104477;F;responsable e-CRM;Pasquier et Fils;90295;0;z_SUV;14.0;0;dev_premium;18/01/2022;GS1165406;[60k€, 100k€];Boisseau;Non
91970915;F;technicien de police technique et scientifique;Pichon;21873;2;Minivan;1.0;0;dev_premium;23/01/2022;KG1178883;[20k€, 40k€];Velleron;Oui
427973991;F;comédien;Berger;44224;2;Sports Car;11.0;0;dev_express;07/01/2022;FQ1182207;[40k€, 60k€];Borgo;Oui
44950663;F;brodeur;Carlier;12284;3;Pickup;7.0;0;dev_integral;02/01/2022;UW1198734;[0, 20k€];Brignon;Oui
299869772;M;ingénieur d'études en sûreté nucléaire;Joly;57379;2;Sports Car;1.0;2;dev_integral;23/05/2022;QE1208237;[40k€, 60k€];Vaulx;Oui
693292141;M;expert-comptable;Munoz SARL;78796;0;Minivan;15.0;0;dev_integral;29/05/2022;QV1216688;[60k€, 100k€];Sainte-Tulle;Non
405093473;M;surveillant de centre pénitentiaire;Delorme Schneider S.A.R.L.;0;0;z_SUV;13.0;0;dev_integral;09/02/2022;JX1228760;Inconnu;Drancy;Non
141677056;M;animateur d'activités physiques et sportives pour tous;Chevalier;91898;1;Minivan;11.0;2;dev_express;17/02/2022;LM1237664;[60k€, 100k€];Mainvilliers;Oui
111008804;M;consultant en validation;Pierre et Fils;106944;0;z_SUV;12.0;0;dev_integral;06/05/2022;YJ1249255;[100k€, 150k€];Raon-l'Étape;Non
994001102;F;viticulteur;Gallet;66196;0;Pickup;11.0;0;dev_integral;25/01/2022;ZE1253817;[60k€, 100k€];Villieu-Loyes-Mollon;Non
570595259;F;technicien en automatismes;Gomez S.A.S.;26840;2;Van;9.0;4;dev_integral;01/01/2022;OL1265290;[20k€, 40k€];Saint-Chamond;Oui
700098445;M;ingénieur du son;Léger;95076;0;Minivan;8.0;0;dev_integral;02/04/2022;FB1278046;[60k€, 100k€];Digne-les-Bains;Non
778020709;M;assistant de gestion en PME;Aubert S.A.;105299;0;Minivan;1.0;2;dev_integral;14/04/2022;VP1282786;[100k€, 150k€];Castres;Non
470060990;M;ingénieur aromaticien aromaticienne;Lebreton;0;0;Minivan;1.0;7;dev_express;07/03/2022;TP1295210;Inconnu;Paris;Non
892231761;M;responsable d'élevage agricole;Masse;58453;0;Sports Car;;1;dev_premium;04/04/2022;DT1307166;[40k€, 60k€];Saint-Paul-de-Fenouillet;Non
134794189;M;assistant de service social;Klein S.A.S.;135116;0;Minivan;13.0;1;dev_express;20/04/2022;AM1312608;[100k€, 150k€];Naucelle;Non
457695790;F;hydraulicien;Lopes;0;2;Sports Car;13.0;0;dev_express;25/02/2022;UU1328986;Inconnu;Bellou-sur-Huisne;Oui
860428575;F;puériculteur;Meyer S.A.;36708;1;Minivan;9.0;8;dev_vip;28/05/2022;UC1332562;[20k€, 40k€];Quetigny;Oui
957086884;M;chef de mission humanitaire;Lebreton Hoarau S.A.;5628;3;z_SUV;1.0;0;dev_express;18/03/2022;ZB1343460;[0, 20k€];Tranqueville-Graux;Oui
422758152;M;contrôleur aérien aérienne;Lecomte S.A.;27546;0;Minivan;5.0;3;dev_express;25/02/2022;AC1355214;[20k€, 40k€];Nieulle-sur-Seudre;Non
160730761;F;oenologue;Labbé Marion S.A.R.L.;49120;1;z_SUV;9.0;0;dev_integral;08/04/2022;BT1365640;[40k€, 60k€];Tour;Oui
340247899;F;modéliste;Boyer;93925;1;Minivan;16.0;0;dev_integral;01/05/2022;QQ1375201;[60k€, 100k€];Saint-Chély-d'Apcher;Oui
280963492;M;sous-officier de l'armée de l'air;Huet SA;49978;0;Van;15.0;2;dev_integral;27/03/2022;JV1382389;[40k€, 60k€];Chapelle-Saint-Luc;Non
578768750;M;accessoiriste;Bousquet;128895;3;Van;9.0;4;dev_express;11/05/2022;HD1392936;[100k€, 150k€];Villeneuve-sur-Lot;Oui
602256369;M;agent de propreté et d'hygiène;Baudry;45299;2;z_SUV;1.0;4;dev_express;31/05/2022;KC1403604;[40k€, 60k€];Chancenay;Oui
422175609;F;technicien logistique;Pereira;;4;Sports Car;7.0;6;dev_premium;24/04/2022;EC1419386;Inconnu;Ségrie;Oui
339409075;M;prototypiste en matériaux souples;Collin Étienne SARL;88632;0;Sports Car;9.0;2;dev_integral;06/03/2022;CY1424863;[60k€, 100k€];Turballe;Non
576718540;F;formulateur;Weber Reynaud SA;112804;0;Minivan;9.0;0;dev_integral;18/02/2022;HX1438754;[100k€, 150k€];Niort;Non
366128758;F;infirmier;Techer;146202;2;Pickup;12.0;0;dev_integral;05/01/2022;OT1447671;[100k€, 150k€];Saint-André-les-Vergers;Oui
37461363;M;affûteur;Turpin Millet S.A.S.;46781;0;z_SUV;15.0;5;dev_premium;19/02/2022;GK1456977;[40k€, 60k€];Moussan;Non
444126807;M;conducteur d'engins forestiers de récolte en entreprises de travaux forestiers;Perrier;0;2;z_SUV;;7;dev_express;21/05/2022;EA1461589;Inconnu;Cahors;Oui
37848520;M;agent de propreté et d'hygiène;Blanchet Allain SA;28299;0;z_SUV;11.0;2;dev_express;13/05/2022;BO1475677;[20k€, 40k€];Houilles;Non
736718418;M;technicien biologiste;Chauvet Chevallier SA;82130;0;z_SUV;7.0;0;dev_integral;20/02/2022;NZ1484431;[60k€, 100k€];Scientrier;Non
391209907;M;psychologue de l'éducation nationale spécialité éducation, développement et conseil en orientation scolaire et professionnelle;Monnier;24672;3;z_SUV;10.0;1;dev_integral;16/04/2022;CW1499494;[20k€, 40k€];Besançon;Oui
993821847;F;tonnelier;Voisin S.A.R.L.;94641;0;z_SUV;19.0;0;dev_integral;03/03/2022;YC1501387;[60k€, 100k€];Boussac;Non
733443011;F;technico-commercial en agroalimentaire;Vallet Girard SARL;99100;0;Minivan;15.0;0;dev_express;26/02/2022;YC1511799;[60k€, 100k€];Autun;Non
463293999;M;agent de sûreté ferroviaire;Rousset;48263;0;Minivan;10.0;0;dev_integral;19/02/2022;OX1529148;[40k€, 60k€];Villerest;Non
865839595;F;chargé de pharmacovigilance;Klein SA;61407;0;z_SUV;5.0;2;dev_express;05/03/2022;IY1539348;[60k€, 100k€];Figeac;Non
676767970;F;professeur dans l'enseignement agricole;Delannoy;;2;Minivan;1.0;3;dev_express;11/01/2022;CV1544974;Inconnu;L'Hermitage;Oui
577235524;M;éducateur sportif sportive des activités aquatiques et de la natation;Becker Boutin S.A.R.L.;31096;0;Minivan;4.0;1;dev_express;25/03/2022;UN1555751;[20k€, 40k€];Douilly;Non
325267397;F;anatomiste;Charpentier;36324;2;Pickup;9.0;0;dev_integral;22/02/2022;LK1564507;[20k€, 40k€];Villabé;Oui
529201050;M;responsable des ressources humaines;Gautier S.A.;145073;3;Van;12.0;0;dev_integral;14/01/2022;SM1578303;[100k€, 150k€];Fougères;Oui
621666580;F;ingénieur de la police technique et scientifique;Cousin Roy S.A.;15234;1;Sports Car;4.0;5;dev_express;08/04/2022;WH1584804;[0, 20k€];Albi;Oui
250477489;M;enseignant spécialisé spécialisée;Olivier;79941;0;Pickup;15.0;0;dev_integral;17/04/2022;HC1594464;[60k€, 100k€];Denonville;Non
302594351;M;animalier de laboratoire;Ledoux et Fils;118666;0;Minivan;9.0;0;dev_integral;14/05/2022;HS1606023;[100k€, 150k€];Angers;Non
96173378;M;chargé d'affaires en génie climatique;Robin S.A.S.;81849;0;z_SUV;1.0;6;dev_integral;02/02/2022;YY1617897;[60k€, 100k€];Perpignan;Non
843851522;M;rudologue;Courtois;89343;2;Sports Car;8.0;0;dev_integral;21/05/2022;SQ1629005;[60k€, 100k€];Éragny;Oui
352733454;M;assistant dentaire;Samson;114636;0;z_SUV;12.0;2;dev_premium;09/03/2022;QL1633827;[100k€, 150k€];Bergerac;Non
803824722;F;nivoculteur;Martins;155897;2;Minivan;12.0;1;dev_integral;27/02/2022;FT1647290;[150k€ et +];Velet;Oui
108660852;F;directeur de magasin à grande surface;Bousquet;46751;2;Minivan;14.0;0;dev_integral;03/04/2022;PY1653326;[40k€, 60k€];Arthon-en-Retz;Oui
791714037;F;architecte;Laurent Barbier SA;0;0;Sports Car;8.0;1;dev_express;02/04/2022;IE1663557;Inconnu;Pézilla-la-Rivière;Non
173536416;F;sérigraphe;Rodrigues;0;2;Minivan;1.0;1;dev_express;08/04/2022;BN1679546;Inconnu;Bergerac;Oui
171256104;F;technicien réalisateur réalisatrice radio;Léger;74400;2;Sports Car;17.0;0;dev_integral;31/05/2022;QL1683604;[60k€, 100k€];Bordeaux;Oui
733718803;F;webmestre;Sanchez;43036;2;Pickup;4.0;0;dev_integral;16/05/2022;FU1697939;[40k€, 60k€];Wasquehal;Oui
324371208;F;chargé hygiène sécurité environnement (HSE);Bodin Picard S.A.R.L.;123969;0;Panel Truck;;1;dev_integral;22/04/2022;VK1702394;[100k€, 150k€];Sommervieu;Non
420371060;F;pilote de ligne automatisée (chimie - agroalimentaire - industrie pharmaceutique);Coste;28390;0;z_SUV;11.0;2;dev_integral;30/05/2022;RZ1714819;[20k€, 40k€];Clichy;Non
591312483;M;médiateur familial familiale;Masson S.A.R.L.;77949;3;Pickup;11.0;1;dev_express;01/02/2022;YR1728108;[60k€, 100k€];Besançon;Oui
