Key_Sales;Sales;Orders;Stock
2022-12_14856;18;;36
2023-1_14856;5;;31
2023-2_14856;4;18;45
2023-3_14856;5;;40
2023-4_14856;6;;34
2023-5_14856;8;30;56
2023-6_14856;10;;46
2023-7_14856;11;;35
2023-8_14856;9;36;62
2023-9_14856;13;;49
2023-10_14856;10;;39
2022-10_15923;4;;1
2022-11_15923;8;30;23
2022-12_15923;9;;14
2023-1_15923;2;;12
2023-2_15923;3;12;21
2023-3_15923;3;;18
2023-4_15923;3;;15
2023-5_15923;4;18;29
2023-6_15923;5;;24
2023-7_15923;6;;18
2023-8_15923;4;18;32
2023-9_15923;7;;25
2023-10_15923;5;;20
2022-10_14844;9;;3
2022-11_14844;17;60;46
2022-12_14844;20;;26
2023-1_14844;6;;20
2023-2_14844;6;24;38
2023-3_14844;6;;32
2023-4_14844;8;;24
2023-5_14844;9;30;45
2023-6_14844;12;;33
2023-7_14844;12;;21
2023-8_14844;11;42;52
2023-9_14844;15;;37
2023-10_14844;12;;25
2022-10_14845;4;;3
2022-11_14845;8;18;13
2022-12_14845;9;;4
2023-1_14845;2;;2
2023-2_14845;2;12;12
2023-3_14845;2;;10
2023-4_14845;3;;7
2023-5_14845;4;18;21
2023-6_14845;5;;16
2023-7_14845;6;;10
2023-8_14845;5;18;23
2023-9_14845;7;;16
2023-10_14845;5;;11
2022-10_15921;4;;1
2022-11_15921;7;18;12
2022-12_15921;9;;3
2023-1_15921;2;;1
2023-2_15921;2;12;11
2023-3_15921;2;;9
2023-4_15921;3;;6
2023-5_15921;4;18;20
2023-6_15921;5;;15
2023-7_15921;6;;9
2023-8_15921;4;18;23
2023-9_15921;7;;16
2023-10_15921;5;;11
2022-10_15922;5;;5
2022-11_15922;10;48;43
2022-12_15922;12;;31
2023-1_15922;3;;28
2023-2_15922;3;12;37
2023-3_15922;3;;34
2023-4_15922;4;;30
2023-5_15922;5;18;43
2023-6_15922;6;;37
2023-7_15922;7;;30
2023-8_15922;6;18;42
2023-9_15922;8;;34
2023-10_15922;7;;27
2022-10_15465;13;78;107
2022-11_15465;23;;84
2022-12_15465;29;;55
2023-1_15465;8;48;95
2023-2_15465;5;;90
2023-3_15465;8;;82
2023-4_15465;10;24;96
2023-5_15465;13;;83
2023-6_15465;16;;67
2023-7_15465;18;36;85
2023-8_15465;13;;72
2023-9_15465;19;;53
2023-10_15465;14;78;117
2022-10_15004;10;72;92
2022-11_15004;17;;75
2022-12_15004;21;;54
2023-1_15004;6;24;72
2023-2_15004;5;;67
2023-3_15004;5;;62
2023-4_15004;7;18;73
2023-5_15004;8;;65
2023-6_15004;12;;53
2023-7_15004;13;30;70
2023-8_15004;11;;59
2023-9_15004;15;;44
2023-10_15004;13;66;97
2022-10_14699;7;42;44
2022-11_14699;12;;32
2022-12_14699;13;;19
2023-1_14699;3;18;34
2023-2_14699;4;;30
2023-3_14699;3;;27
2023-4_14699;5;18;40
2023-5_14699;6;;34
2023-6_14699;8;;26
2023-7_14699;9;24;41
2023-8_14699;6;;35
2023-9_14699;11;;24
2023-10_14699;8;48;64
2022-10_14241;4;36;32
2022-11_14241;7;;25
2022-12_14241;16;;9
2023-1_14241;2;18;25
2023-2_14241;3;;22
2023-3_14241;4;;18
2023-4_14241;2;12;28
2023-5_14241;5;;23
2023-6_14241;1;;22
2023-7_14241;15;24;31
2023-8_14241;10;;21
2023-9_14241;2;;19
2023-10_14241;10;30;39
2022-10_15349;11;72;61
2022-11_15349;18;;43
2022-12_15349;24;;19
2023-1_15349;6;36;49
2023-2_15349;7;;42
2023-3_15349;6;;36
2023-4_15349;8;24;52
2023-5_15349;10;;42
2023-6_15349;14;;28
2023-7_15349;13;42;57
2023-8_15349;11;;46
2023-9_15349;17;;29
2023-10_15349;12;78;95
2022-10_15466;8;48;61
2022-11_15466;13;;48
2022-12_15466;15;;33
2023-1_15466;4;18;47
2023-2_15466;4;;43
2023-3_15466;5;;38
2023-4_15466;5;18;51
2023-5_15466;7;;44
2023-6_15466;9;;35
2023-7_15466;10;18;43
2023-8_15466;8;;35
2023-9_15466;12;;23
2023-10_15466;9;54;68
2022-10_14700;3;24;24
2022-11_14700;6;;18
2022-12_14700;7;;11
2023-1_14700;2;12;21
2023-2_14700;2;;19
2023-3_14700;2;;17
2023-4_14700;2;12;27
2023-5_14700;3;;24
2023-6_14700;4;;20
2023-7_14700;4;12;28
2023-8_14700;4;;24
2023-9_14700;5;;19
2023-10_14700;4;24;39
2022-10_10775;7;42;42
2022-11_10775;12;;30
2022-12_10775;14;;16
2023-1_10775;4;18;30
2023-2_10775;4;;26
2023-3_10775;4;;22
2023-4_10775;5;18;35
2023-5_10775;6;;29
2023-6_10775;7;;22
2023-7_10775;8;18;32
2023-8_10775;6;;26
2023-9_10775;10;;16
2023-10_10775;8;42;50
2022-10_15343;4;24;24
2022-11_15343;7;;17
2022-12_15343;9;;8
2023-1_15343;2;18;24
2023-2_15343;3;;21
2023-3_15343;2;;19
2023-4_15343;4;12;27
2023-5_15343;4;;23
2023-6_15343;5;;18
2023-7_15343;5;12;25
2023-8_15343;5;;20
2023-9_15343;7;;13
2023-10_15343;5;30;38
2022-10_15346;2;12;13
2022-11_15346;4;;9
2022-12_15346;5;;4
2023-1_15346;1;12;15
2023-2_15346;1;;14
2023-3_15346;1;;13
2023-4_15346;2;6;17
2023-5_15346;2;;15
2023-6_15346;2;;13
2023-7_15346;3;6;16
2023-8_15346;2;;14
2023-9_15346;3;;11
2023-10_15346;2;12;21
2022-10_15345;3;18;21
2022-11_15345;6;;15
2022-12_15345;7;;8
2023-1_15345;2;12;18
2023-2_15345;2;;16
2023-3_15345;2;;14
2023-4_15345;2;12;24
2023-5_15345;3;;21
2023-6_15345;4;;17
2023-7_15345;4;12;25
2023-8_15345;4;;21
2023-9_15345;5;;16
2023-10_15345;4;18;30
2022-10_15344;7;42;49
2022-11_15344;13;;36
2022-12_15344;16;;20
2023-1_15344;5;24;39
2023-2_15344;4;;35
2023-3_15344;4;;31
2023-4_15344;6;12;37
2023-5_15344;6;;31
2023-6_15344;9;;22
2023-7_15344;10;18;30
2023-8_15344;8;;22
2023-9_15344;12;;10
2023-10_15344;10;48;48
2022-10_16121;10;66;79
2022-11_16121;19;;60
2022-12_16121;24;;36
2023-1_16121;5;30;61
2023-2_16121;5;;56
2023-3_16121;7;;49
2023-4_16121;7;24;66
2023-5_16121;10;;56
2023-6_16121;13;;43
2023-7_16121;14;24;53
2023-8_16121;12;;41
2023-9_16121;17;;24
2023-10_16121;14;66;76
2022-10_15351;8;54;61
2022-11_15351;16;;45
2022-12_15351;19;;26
2023-1_15351;5;30;51
2023-2_15351;5;;46
2023-3_15351;5;;41
2023-4_15351;6;18;53
2023-5_15351;9;;44
2023-6_15351;11;;33
2023-7_15351;11;30;52
2023-8_15351;8;;44
2023-9_15351;14;;30
2023-10_15351;11;60;79
2022-10_16119;4;24;26
2022-11_16119;8;;18
2022-12_16119;10;;8
2023-1_16119;3;18;23
2023-2_16119;2;;21
2023-3_16119;3;;18
2023-4_16119;3;12;27
2023-5_16119;4;;23
2023-6_16119;5;;18
2023-7_16119;6;12;24
2023-8_16119;5;;19
2023-9_16119;7;;12
2023-10_16119;5;24;31
2022-10_14374;10;66;88
2022-11_14374;19;;69
2022-12_14374;23;;46
2023-1_14374;5;24;65
2023-2_14374;5;;60
2023-3_14374;6;;54
2023-4_14374;9;18;63
2023-5_14374;9;;54
2023-6_14374;12;;42
2023-7_14374;14;42;70
2023-8_14374;11;;59
2023-9_14374;16;;43
2023-10_14374;13;60;90
2022-10_14395;5;;2
2022-11_14395;9;42;35
2022-12_14395;12;;23
2023-1_14395;3;;20
2023-2_14395;3;;17
2023-3_14395;3;24;38
2023-4_14395;4;;34
2023-5_14395;6;;28
2023-6_14395;7;36;57
2023-7_14395;7;;50
2023-8_14395;6;;44
2023-9_14395;8;;36
2023-10_14395;6;;30
2022-10_16186;7;;9
2022-11_16186;14;60;55
2022-12_16186;16;;39
2023-1_16186;4;;35
2023-2_16186;4;;31
2023-3_16186;4;30;57
2023-4_16186;6;;51
2023-5_16186;6;;45
2023-6_16186;8;42;79
2023-7_16186;10;;69
2023-8_16186;8;;61
2023-9_16186;12;;49
2023-10_16186;9;;40
2022-10_11049;4;;4
2022-11_11049;8;36;32
2022-12_11049;10;;22
2023-1_11049;3;;19
2023-2_11049;2;;17
2023-3_11049;2;12;27
2023-4_11049;3;;24
2023-5_11049;4;;20
2023-6_11049;5;30;45
2023-7_11049;6;;39
2023-8_11049;5;;34
2023-9_11049;7;;27
2023-10_11049;5;;22
2022-10_10459;4;;2
2022-11_10459;8;30;24
2022-12_10459;9;;15
2023-1_10459;2;;13
2023-2_10459;2;;11
2023-3_10459;2;12;21
2023-4_10459;3;;18
2023-5_10459;4;;14
2023-6_10459;5;30;39
2023-7_10459;6;;33
2023-8_10459;4;;29
2023-9_10459;7;;22
2023-10_10459;6;;16
2022-10_14371;6;;4
2022-11_14371;12;54;46
2022-12_14371;13;;33
2023-1_14371;4;;29
2023-2_14371;3;;26
2023-3_14371;3;18;41
2023-4_14371;5;;36
2023-5_14371;5;;31
2023-6_14371;8;42;65
2023-7_14371;8;;57
2023-8_14371;7;;50
2023-9_14371;10;;40
2023-10_14371;8;;32
2022-10_14372;9;;3
2022-11_14372;2;48;49
2022-12_14372;13;;36
2023-1_14372;1;;35
2023-2_14372;2;;33
2023-3_14372;5;30;58
2023-4_14372;6;;52
2023-5_14372;3;;49
2023-6_14372;11;30;68
2023-7_14372;4;;64
2023-8_14372;11;;53
2023-9_14372;15;;38
2023-10_14372;10;;28
2023-5_30007;5;8;3
2023-6_30007;7;11;7
2023-7_30007;8;12;11
2023-8_30007;9;14;16
2023-9_30007;5;;11
2023-10_30007;5;8;14
2023-5_30004;5;8;3
2023-6_30004;7;10;6
2023-7_30004;8;12;10
2023-8_30004;9;12;13
2023-9_30004;5;;8
2023-10_30004;5;7;10
2022-10_15613;7;;17
2022-11_15613;13;60;64
2022-12_15613;16;;48
2023-1_15613;4;;44
2023-2_15613;4;18;58
2023-3_15613;5;;53
2023-4_15613;6;;47
2023-5_15613;7;30;70
2023-6_15613;8;;62
2023-7_15613;10;;52
2023-8_15613;8;30;74
2023-9_15613;12;;62
2023-10_15613;9;;53
2022-10_15614;6;;8
2022-11_15614;11;42;39
2022-12_15614;14;;25
2023-1_15614;3;;22
2023-2_15614;3;12;31
2023-3_15614;4;;27
2023-4_15614;4;;23
2023-5_15614;6;18;35
2023-6_15614;7;;28
2023-7_15614;9;;19
2023-8_15614;7;18;30
2023-9_15614;10;;20
2023-10_15614;8;;12
2022-10_13809;9;;14
2022-11_13809;15;66;65
2022-12_13809;19;;46
2023-1_13809;4;;42
2023-2_13809;4;18;56
2023-3_13809;5;;51
2023-4_13809;6;;45
2023-5_13809;8;36;73
2023-6_13809;11;;62
2023-7_13809;11;;51
2023-8_13809;9;42;84
2023-9_13809;14;;70
2023-10_13809;11;;59
2023-5_30044;2;3;1
2023-6_30044;2;3;2
2023-7_30044;3;4;3
2023-8_30044;3;5;5
2023-9_30044;2;;3
2023-10_30044;2;3;4
2023-5_30008;7;12;5
2023-6_30008;9;15;11
2023-7_30008;11;15;15
2023-8_30008;12;19;22
2023-9_30008;8;;14
2023-10_30008;7;12;19
2023-5_30038;20;30;10
2023-6_30038;24;36;22
2023-7_30038;30;50;42
2023-8_30038;33;43;52
2023-9_30038;20;;32
2023-10_30038;17;24;39
2022-10_15677;14;;25
2022-11_15677;24;114;115
2022-12_15677;29;;86
2023-1_15677;7;;79
2023-2_15677;5;;74
2023-3_15677;8;48;114
2023-4_15677;9;;105
2023-5_15677;12;;93
2023-6_15677;15;84;162
2023-7_15677;16;;146
2023-8_15677;14;;132
2023-9_15677;21;;111
2023-10_15677;16;;95
2022-10_16269;12;;25
2022-11_16269;24;126;127
2022-12_16269;28;;99
2023-1_16269;6;;93
2023-2_16269;6;;87
2023-3_16269;7;42;122
2023-4_16269;9;;113
2023-5_16269;12;;101
2023-6_16269;17;84;168
2023-7_16269;18;;150
2023-8_16269;13;;137
2023-9_16269;20;;117
2023-10_16269;17;;100
2022-10_15461;10;;12
2022-11_15461;19;90;83
2022-12_15461;22;;61
2023-1_15461;6;;55
2023-2_15461;7;;48
2023-3_15461;7;42;83
2023-4_15461;7;;76
2023-5_15461;10;;66
2023-6_15461;13;66;119
2023-7_15461;14;;105
2023-8_15461;11;;94
2023-9_15461;16;;78
2023-10_15461;13;;65
2022-10_14561;11;;22
2022-11_14561;22;102;102
2022-12_14561;26;;76
2023-1_14561;6;;70
2023-2_14561;6;;64
2023-3_14561;7;48;105
2023-4_14561;9;;96
2023-5_14561;12;;84
2023-6_14561;15;72;141
2023-7_14561;14;;127
2023-8_14561;12;;115
2023-9_14561;18;;97
2023-10_14561;15;;82
2022-10_12494;4;30;33
2022-11_12494;8;;25
2022-12_12494;9;;16
2023-1_12494;2;12;26
2023-2_12494;2;;24
2023-3_12494;2;;22
2023-4_12494;3;12;31
2023-5_12494;4;;27
2023-6_12494;5;;22
2023-7_12494;5;18;35
2023-8_12494;4;;31
2023-9_12494;7;;24
2023-10_12494;5;24;43
2022-10_13904;9;54;68
2022-11_13904;17;;51
2022-12_13904;20;;31
2023-1_13904;5;36;62
2023-2_13904;6;;56
2023-3_13904;6;;50
2023-4_13904;8;24;66
2023-5_13904;9;;57
2023-6_13904;12;;45
2023-7_13904;13;30;62
2023-8_13904;11;;51
2023-9_13904;15;;36
2023-10_13904;11;60;85
2022-10_14141;12;78;100
2022-11_14141;22;;78
2022-12_14141;27;;51
2023-1_14141;8;42;85
2023-2_14141;8;;77
2023-3_14141;6;;71
2023-4_14141;10;30;91
2023-5_14141;13;;78
2023-6_14141;16;;62
2023-7_14141;17;60;105
2023-8_14141;14;;91
2023-9_14141;21;;70
2023-10_14141;16;78;132
2023-5_30043;21;32;11
2023-6_30043;25;36;22
2023-7_30043;29;48;41
2023-8_30043;31;53;63
2023-9_30043;19;;44
2023-10_30043;18;28;54
2023-5_30023;4;6;2
2023-6_30023;5;8;5
2023-7_30023;5;7;7
2023-8_30023;6;10;11
2023-9_30023;3;;8
2023-10_30023;3;5;10
2022-10_16261;8;;10
2022-11_16261;14;66;62
2022-12_16261;16;;46
2023-1_16261;4;;42
2023-2_16261;4;18;56
2023-3_16261;4;;52
2023-4_16261;6;;46
2023-5_16261;7;30;69
2023-6_16261;10;;59
2023-7_16261;10;;49
2023-8_16261;8;42;83
2023-9_16261;11;;72
2023-10_16261;9;;63
2022-10_16262;10;;12
2022-11_16262;16;78;74
2022-12_16262;21;;53
2023-1_16262;6;;47
2023-2_16262;6;18;59
2023-3_16262;5;;54
2023-4_16262;7;;47
2023-5_16262;9;36;74
2023-6_16262;11;;63
2023-7_16262;12;;51
2023-8_16262;10;42;83
2023-9_16262;16;;67
2023-10_16262;13;;54
2022-10_16525;25;;20
2022-11_16525;42;180;158
2022-12_16525;53;;105
2023-1_16525;12;;93
2023-2_16525;13;48;128
2023-3_16525;15;;113
2023-4_16525;16;;97
2023-5_16525;23;84;158
2023-6_16525;26;;132
2023-7_16525;31;;101
2023-8_16525;26;90;165
2023-9_16525;39;;126
2023-10_16525;27;;99
2022-10_15848;10;;17
2022-11_15848;18;78;77
2022-12_15848;23;;54
2023-1_15848;7;;47
2023-2_15848;5;24;66
2023-3_15848;7;;59
2023-4_15848;9;;50
2023-5_15848;10;42;82
2023-6_15848;13;;69
2023-7_15848;15;;54
2023-8_15848;11;42;85
2023-9_15848;17;;68
2023-10_15848;13;;55
2022-10_15850;15;;13
2022-11_15850;25;60;48
2022-12_15850;31;;17
2023-1_15850;9;;8
2023-2_15850;7;30;31
2023-3_15850;8;;23
2023-4_15850;12;;11
2023-5_15850;13;60;58
2023-6_15850;16;;42
2023-7_15850;18;;24
2023-8_15850;15;66;75
2023-9_15850;21;;54
2023-10_15850;16;;38
2022-10_15849;13;;23
2022-11_15849;23;60;60
2022-12_15849;28;;32
2023-1_15849;8;;24
2023-2_15849;6;24;42
2023-3_15849;8;;34
2023-4_15849;9;;25
2023-5_15849;13;54;66
2023-6_15849;15;;51
2023-7_15849;16;;35
2023-8_15849;14;54;75
2023-9_15849;21;;54
2023-10_15849;15;;39
2022-10_14504;8;;8
2022-11_14504;14;;14
2022-12_14504;32;;32
2023-1_14504;5;;5
2023-2_14504;4;;4
2023-3_14504;5;;5
2023-4_14504;4;;4
2023-5_14504;3;;3
2023-6_14504;5;;5
2023-7_14504;4;;4
2023-8_14504;7;;7
2023-9_14504;7;;7
2023-10_14504;8;;8
2022-10_15654;13;;25
2022-11_15654;21;90;94
2022-12_15654;24;;70
2023-1_15654;7;;63
2023-2_15654;7;;56
2023-3_15654;6;48;98
2023-4_15654;9;;89
2023-5_15654;11;;78
2023-6_15654;13;78;143
2023-7_15654;16;;127
2023-8_15654;13;;114
2023-9_15654;19;;95
2023-10_15654;13;;82
2022-10_16273;10;;14
2022-11_16273;20;90;84
2022-12_16273;22;;62
2023-1_16273;6;;56
2023-2_16273;5;;51
2023-3_16273;7;36;80
2023-4_16273;7;;73
2023-5_16273;11;;62
2023-6_16273;13;78;127
2023-7_16273;15;;112
2023-8_16273;11;;101
2023-9_16273;16;;85
2023-10_16273;13;;72
2022-10_16247;6;;4
2022-11_16247;12;54;46
2022-12_16247;14;;32
2023-1_16247;4;;28
2023-2_16247;3;;25
2023-3_16247;4;18;39
2023-4_16247;4;;35
2023-5_16247;6;;29
2023-6_16247;8;42;63
2023-7_16247;9;;54
2023-8_16247;7;;47
2023-9_16247;11;;36
2023-10_16247;8;;28
2022-10_16323;15;;4
2022-11_16323;27;54;46
2022-12_16323;31;;32
2023-1_16323;9;;28
2023-2_16323;7;;25
2023-3_16323;10;18;39
2023-4_16323;11;;35
2023-5_16323;14;;29
2023-6_16323;19;42;63
2023-7_16323;18;;54
2023-8_16323;16;;47
2023-9_16323;25;;36
2023-10_16323;20;;28
2022-10_16133;12;;18
2022-11_16133;21;108;105
2022-12_16133;26;;79
2023-1_16133;7;;72
2023-2_16133;7;;65
2023-3_16133;6;54;113
2023-4_16133;9;;104
2023-5_16133;11;;93
2023-6_16133;15;72;150
2023-7_16133;14;;136
2023-8_16133;13;;123
2023-9_16133;19;;104
2023-10_16133;14;;90
2022-10_15746;7;;16
2022-11_15746;14;72;74
2022-12_15746;16;;58
2023-1_15746;4;;54
2023-2_15746;4;;50
2023-3_15746;5;24;69
2023-4_15746;6;;63
2023-5_15746;6;;57
2023-6_15746;9;42;90
2023-7_15746;9;;81
2023-8_15746;8;;73
2023-9_15746;12;;61
2023-10_15746;9;;52
2022-10_15747;13;;30
2022-11_15747;26;138;142
2022-12_15747;31;;111
2023-1_15747;9;;102
2023-2_15747;8;;94
2023-3_15747;8;48;134
2023-4_15747;10;;124
2023-5_15747;13;;111
2023-6_15747;18;90;183
2023-7_15747;19;;164
2023-8_15747;15;;149
2023-9_15747;22;;127
2023-10_15747;18;;109
2022-10_16560;14;;29
2022-11_16560;26;138;141
2022-12_16560;30;;111
2023-1_16560;9;;102
2023-2_16560;8;;94
2023-3_16560;8;54;140
2023-4_16560;10;;130
2023-5_16560;14;;116
2023-6_16560;18;90;188
2023-7_16560;19;;169
2023-8_16560;15;;154
2023-9_16560;23;;131
2023-10_16560;17;;114
2022-10_15745;1;;5
2022-11_15745;15;72;62
2022-12_15745;20;;42
2023-1_15745;5;;37
2023-2_15745;3;;34
2023-3_15745;3;18;49
2023-4_15745;5;;44
2023-5_15745;9;;35
2023-6_15745;12;60;83
2023-7_15745;9;;74
2023-8_15745;11;;63
2023-9_15745;17;;46
2023-10_15745;4;;42
2023-5_30020;9;14;5
2023-6_30020;11;17;11
2023-7_30020;14;21;18
2023-8_30020;14;20;24
2023-9_30020;9;;15
2023-10_30020;9;13;19
2023-5_30016;16;22;6
2023-6_30016;21;30;15
2023-7_30016;25;42;32
2023-8_30016;26;36;42
2023-9_30016;16;;26
2023-10_30016;14;24;36
2022-10_15179;3;18;19
2022-11_15179;6;;13
2022-12_15179;7;;6
2023-1_15179;2;12;16
2023-2_15179;2;;14
2023-3_15179;2;;12
2023-4_15179;3;12;21
2023-5_15179;3;;18
2023-6_15179;4;;14
2023-7_15179;4;12;22
2023-8_15179;4;;18
2023-9_15179;5;;13
2023-10_15179;4;24;33
2022-10_15185;4;24;32
2022-11_15185;7;;25
2022-12_15185;9;;16
2023-1_15185;2;12;26
2023-2_15185;2;;24
2023-3_15185;3;;21
2023-4_15185;3;12;30
2023-5_15185;4;;26
2023-6_15185;5;;21
2023-7_15185;6;18;33
2023-8_15185;4;;29
2023-9_15185;7;;22
2023-10_15185;5;24;41
2022-10_15183;5;36;38
2022-11_15183;10;;28
2022-12_15183;12;;16
2023-1_15183;3;18;31
2023-2_15183;3;;28
2023-3_15183;3;;25
2023-4_15183;4;12;33
2023-5_15183;5;;28
2023-6_15183;6;;22
2023-7_15183;7;18;33
2023-8_15183;6;;27
2023-9_15183;9;;18
2023-10_15183;7;42;53
2022-10_15254;5;36;37
2022-11_15254;10;;27
2022-12_15254;12;;15
2023-1_15254;3;18;30
2023-2_15254;3;;27
2023-3_15254;3;;24
2023-4_15254;5;18;37
2023-5_15254;5;;32
2023-6_15254;7;;25
2023-7_15254;7;18;36
2023-8_15254;6;;30
2023-9_15254;8;;22
2023-10_15254;7;36;51
2022-10_15178;10;72;81
2022-11_15178;20;;61
2022-12_15178;24;;37
2023-1_15178;6;36;67
2023-2_15178;5;;62
2023-3_15178;7;;55
2023-4_15178;7;18;66
2023-5_15178;10;;56
2023-6_15178;12;;44
2023-7_15178;14;36;66
2023-8_15178;11;;55
2023-9_15178;17;;38
2023-10_15178;12;90;116
2022-10_15184;3;18;21
2022-11_15184;6;;15
2022-12_15184;7;;8
2023-1_15184;2;12;18
2023-2_15184;2;;16
2023-3_15184;2;;14
2023-4_15184;2;6;18
2023-5_15184;3;;15
2023-6_15184;4;;11
2023-7_15184;4;12;19
2023-8_15184;4;;15
2023-9_15184;5;;10
2023-10_15184;4;24;30
2022-10_15180;4;24;32
2022-11_15180;7;;25
2022-12_15180;9;;16
2023-1_15180;3;12;25
2023-2_15180;2;;23
2023-3_15180;2;;21
2023-4_15180;3;12;30
2023-5_15180;4;;26
2023-6_15180;5;;21
2023-7_15180;6;18;33
2023-8_15180;4;;29
2023-9_15180;7;;22
2023-10_15180;5;24;41
2022-10_16326;6;36;38
2022-11_16326;9;;29
2022-12_16326;12;;17
2023-1_16326;3;18;32
2023-2_16326;3;;29
2023-3_16326;3;;26
2023-4_16326;4;12;34
2023-5_16326;5;;29
2023-6_16326;6;;23
2023-7_16326;7;18;34
2023-8_16326;6;;28
2023-9_16326;9;;19
2023-10_16326;7;36;48
2022-10_16138;9;60;78
2022-11_16138;16;;62
2022-12_16138;18;;44
2023-1_16138;5;30;69
2023-2_16138;4;;65
2023-3_16138;6;;59
2023-4_16138;7;24;76
2023-5_16138;8;;68
2023-6_16138;11;;57
2023-7_16138;12;36;81
2023-8_16138;8;;73
2023-9_16138;13;;60
2023-10_16138;10;66;116
2022-10_15576;13;84;109
2022-11_15576;22;;87
2022-12_15576;25;;62
2023-1_15576;6;42;98
2023-2_15576;6;;92
2023-3_15576;7;;85
2023-4_15576;9;18;94
2023-5_15576;10;;84
2023-6_15576;13;;71
2023-7_15576;16;36;91
2023-8_15576;12;;79
2023-9_15576;18;;61
2023-10_15576;15;78;124
2022-10_15891;9;60;74
2022-11_15891;17;;57
2022-12_15891;20;;37
2023-1_15891;5;30;62
2023-2_15891;5;;57
2023-3_15891;5;;52
2023-4_15891;7;18;63
2023-5_15891;9;;54
2023-6_15891;13;;41
2023-7_15891;13;36;64
2023-8_15891;10;;54
2023-9_15891;16;;38
2023-10_15891;13;48;73
2022-10_16151;7;;17
2022-11_16151;13;66;70
2022-12_16151;16;;54
2023-1_16151;4;;50
2023-2_16151;3;;47
2023-3_16151;4;30;73
2023-4_16151;6;;67
2023-5_16151;7;;60
2023-6_16151;9;48;99
2023-7_16151;10;;89
2023-8_16151;8;;81
2023-9_16151;12;;69
2023-10_16151;10;;59
2022-10_15659;4;;4
2022-11_15659;7;30;27
2022-12_15659;9;;18
2023-1_15659;3;;15
2023-2_15659;3;;12
2023-3_15659;3;18;27
2023-4_15659;3;;24
2023-5_15659;4;;20
2023-6_15659;5;24;39
2023-7_15659;5;;34
2023-8_15659;4;;30
2023-9_15659;7;;23
2023-10_15659;5;;18
2022-10_15147;7;;1
2022-11_15147;12;54;43
2022-12_15147;14;;29
2023-1_15147;4;;25
2023-2_15147;3;;22
2023-3_15147;4;24;42
2023-4_15147;5;;37
2023-5_15147;6;;31
2023-6_15147;7;42;66
2023-7_15147;9;;57
2023-8_15147;6;;51
2023-9_15147;11;;40
2023-10_15147;8;;32
2022-10_15660;4;;1
2022-11_15660;8;30;23
2022-12_15660;10;;13
2023-1_15660;2;;11
2023-2_15660;2;;9
2023-3_15660;2;12;19
2023-4_15660;3;;16
2023-5_15660;4;;12
2023-6_15660;5;24;31
2023-7_15660;5;;26
2023-8_15660;4;;22
2023-9_15660;7;;15
2023-10_15660;5;;10
2022-10_16152;6;;0
2022-11_16152;11;48;37
2022-12_16152;14;;23
2023-1_16152;4;;19
