Key_Finance;Date;SKU;Taxe_Statut;Onsale_Web;Price;Purchase_Price
2022-10_12315;2022-10-01;12315;taxable;1;39;21,16
2022-10_15934;2022-10-01;15934;taxable;1;6,3;3,29
2022-10_15148;2022-10-01;15148;taxable;1;32,2;16,47
2022-10_15781;2022-10-01;15781;taxable;1;15,4;7,88
2022-10_15106;2022-10-01;15106;taxable;1;11,1;5,68
2022-10_15490;2022-10-01;15490;taxable;1;22;11,37
2022-10_14507;2022-10-01;14507;taxable;1;78;40,7
2022-10_16307;2022-10-01;16307;taxable;1;15,2;7,54
2022-10_13736;2022-10-01;13736;taxable;1;12,8;6,68
2022-10_16037;2022-10-01;16037;taxable;1;25,3;12,55
2022-10_12587;2022-10-01;12587;taxable;1;79,5;45,91
2022-10_16305;2022-10-01;16305;taxable;1;10,2;5,16
2022-10_16131;2022-10-01;16131;taxable;1;33,4;16,57
2022-10_13435;2022-10-01;13435;taxable;1;44;22,28
2022-10_15758;2022-10-01;15758;taxable;1;11,6;5,75
2022-10_14509;2022-10-01;14509;taxable;1;78;42,32
2022-10_14768;2022-10-01;14768;taxable;1;44;21,18
2022-10_16505;2022-10-01;16505;taxable;1;16,3;8
2022-10_15871;2022-10-01;15871;taxable;1;59,4;29,77
2022-10_11602;2022-10-01;11602;taxable;1;105;56,42
2022-10_13127;2022-10-01;13127;taxable;1;44,3;22,2
2022-10_13520;2022-10-01;13520;taxable;1;57,7;30,11
2022-10_13032;2022-10-01;13032;taxable;1;27,2;14,05
2022-10_15436;2022-10-01;15436;taxable;1;28;14,47
2022-10_15910;2022-10-01;15910;taxable;1;24,7;12,76
2022-10_16263;2022-10-01;16263;taxable;1;9,3;4,76
2022-10_15138;2022-10-01;15138;taxable;1;11,5;5,64
2022-10_16580;2022-10-01;16580;taxable;1;25,2;13,15
2022-10_13905;2022-10-01;13905;taxable;1;17,1;9,01
2022-10_13557;2022-10-01;13557;taxable;1;10,8;5,69
2022-10_14975;2022-10-01;14975;taxable;1;32,7;17,57
2022-10_15341;2022-10-01;15341;taxable;1;25,7;13,01
2022-10_15415;2022-10-01;15415;taxable;1;9,9;5,01
2022-10_16065;2022-10-01;16065;taxable;1;38,6;20,34
2022-10_15479;2022-10-01;15479;taxable;1;41,8;22,03
2022-10_16151;2022-10-01;16151;taxable;1;16,1;8,57
2022-10_15127;2022-10-01;15127;taxable;1;73,3;37,87
2022-10_15140;2022-10-01;15140;taxable;1;13,7;7,36
2022-10_15779;2022-10-01;15779;taxable;1;28,4;14,67
2022-10_9937;2022-10-01;9937;taxable;1;25,7;12,75
2022-10_15281;2022-10-01;15281;taxable;1;29,8;15,09
2022-10_15315;2022-10-01;15315;taxable;1;11,9;6,46
2022-10_15668;2022-10-01;15668;taxable;1;9,3;4,9
2022-10_15161;2022-10-01;15161;taxable;1;20,4;10,96
2022-10_15792;2022-10-01;15792;taxable;1;32,2;16,8
2022-10_15921;2022-10-01;15921;taxable;1;71,3;36,84
2022-10_15870;2022-10-01;15870;taxable;1;48,7;24,91
2022-10_15690;2022-10-01;15690;taxable;1;18,9;9,57
2022-10_15561;2022-10-01;15561;taxable;1;5,8;3,09
2022-10_15539;2022-10-01;15539;taxable;1;13,5;7,18
2022-10_16320;2022-10-01;16320;taxable;1;11,9;6,27
2022-10_3509;2022-10-01;3509;taxable;1;104;46,71
2022-10_2534;2022-10-01;2534;taxable;1;52,4;27,07
2022-10_11586;2022-10-01;11586;taxable;1;49,5;22,01
2022-10_14819;2022-10-01;14819;taxable;1;12;6,26
2022-10_15705;2022-10-01;15705;taxable;1;29;15,28
2022-10_15254;2022-10-01;15254;taxable;1;33,6;16,49
2022-10_15554;2022-10-01;15554;taxable;1;22,2;11,93
2022-10_14451;2022-10-01;14451;taxable;1;18,1;9,45
2022-10_16274;2022-10-01;16274;taxable;1;9,8;5,16
2022-10_14696;2022-10-01;14696;taxable;1;19,8;10,43
2022-10_14573;2022-10-01;14573;taxable;1;10,6;5,42
2022-10_16238;2022-10-01;16238;taxable;1;19,2;9,52
2022-10_15834;2022-10-01;15834;taxable;1;46;24
2022-10_15141;2022-10-01;15141;taxable;1;9,8;4,91
2022-10_15038;2022-10-01;15038;taxable;1;20,6;10,22
2022-10_15238;2022-10-01;15238;taxable;1;16,6;9,01
2022-10_16586;2022-10-01;16586;taxable;1;7,1;3,67
2022-10_15664;2022-10-01;15664;taxable;1;15,8;8,49
2022-10_14527;2022-10-01;14527;taxable;1;17,6;9,46
2022-10_15707;2022-10-01;15707;taxable;1;72;35,71
2022-10_15269;2022-10-01;15269;taxable;1;80;40,92
2022-10_14845;2022-10-01;14845;taxable;1;38,4;19,05
2022-10_14700;2022-10-01;14700;taxable;1;32,6;17,35
2022-10_15440;2022-10-01;15440;taxable;1;22,9;11,95
2022-10_15759;2022-10-01;15759;taxable;1;8,9;4,74
2022-10_11277;2022-10-01;11277;taxable;1;24;12,9
2022-10_15676;2022-10-01;15676;taxable;1;13,7;7,15
2022-10_15731;2022-10-01;15731;taxable;1;12,3;6,29
2022-10_16525;2022-10-01;16525;taxable;1;28,5;14,14
2022-10_15785;2022-10-01;15785;taxable;1;14,3;7,24
2022-10_14699;2022-10-01;14699;taxable;1;31,6;17,14
2022-10_15718;2022-10-01;15718;taxable;1;58,8;29,16
2022-10_14372;2022-10-01;14372;taxable;1;30,6;16,44
2022-10_15881;2022-10-01;15881;taxable;1;12,1;6,56
2022-10_15426;2022-10-01;15426;taxable;1;28,1;15,24
2022-10_16023;2022-10-01;16023;taxable;1;6,7;3,63
2022-10_14661;2022-10-01;14661;taxable;1;12,7;6,23
2022-10_15675;2022-10-01;15675;taxable;1;12,8;6,48
2022-10_15351;2022-10-01;15351;taxable;1;49,5;25,06
2022-10_12791;2022-10-01;12791;taxable;1;105;55,88
2022-10_13958;2022-10-01;13958;taxable;1;34,3;17,9
2022-10_15669;2022-10-01;15669;taxable;1;54,8;27,18
2022-10_11849;2022-10-01;11849;taxable;1;49;24,81
2022-10_15461;2022-10-01;15461;taxable;1;11,1;5,85
2022-10_15577;2022-10-01;15577;taxable;1;8,7;4,5
2022-10_12639;2022-10-01;12639;taxable;1;59;27,31
2022-10_15466;2022-10-01;15466;taxable;1;22,8;11,54
2022-10_15184;2022-10-01;15184;taxable;1;38,4;20,04
2022-10_13904;2022-10-01;13904;taxable;1;16,1;8,32
2022-10_15793;2022-10-01;15793;taxable;1;37,7;19,48
2022-10_15612;2022-10-01;15612;taxable;1;25,9;12,98
2022-10_15425;2022-10-01;15425;taxable;1;6,5;3,29
2022-10_14599;2022-10-01;14599;taxable;1;13,6;7,38
2022-10_15033;2022-10-01;15033;taxable;1;14,8;7,49
2022-10_16449;2022-10-01;16449;taxable;1;21,8;11,26
2022-10_15829;2022-10-01;15829;taxable;1;12,8;6,48
2022-10_13965;2022-10-01;13965;taxable;1;48,8;26,47
2022-10_16306;2022-10-01;16306;taxable;1;10,4;5,21
2022-10_15303;2022-10-01;15303;taxable;1;34,3;18,25
2022-10_13996;2022-10-01;13996;taxable;1;115;59,42
2022-10_14679;2022-10-01;14679;taxable;1;42;22,57
2022-10_15318;2022-10-01;15318;taxable;1;48,5;25,31
2022-10_13599;2022-10-01;13599;taxable;1;35,5;21,12
2022-10_15206;2022-10-01;15206;taxable;1;25,3;13,07
2022-10_16153;2022-10-01;16153;taxable;1;41;22,03
2022-10_16067;2022-10-01;16067;taxable;1;48,5;25,56
2022-10_15241;2022-10-01;15241;taxable;1;63,5;32,48
2022-10_16264;2022-10-01;16264;taxable;1;10,9;5,58
2022-10_14915;2022-10-01;14915;taxable;1;124,8;66,41
2022-10_16289;2022-10-01;16289;taxable;1;22,8;11,9
2022-10_15229;2022-10-01;15229;taxable;1;26,5;14,1
2022-10_15713;2022-10-01;15713;taxable;1;45;23,25
2022-10_15654;2022-10-01;15654;taxable;1;10,4;5,53
2022-10_15879;2022-10-01;15879;taxable;1;29;15,43
2022-10_12586;2022-10-01;12586;taxable;1;59;34,76
2022-10_15710;2022-10-01;15710;taxable;1;78;41,51
2022-10_15204;2022-10-01;15204;taxable;1;35,2;17,46
2022-10_16462;2022-10-01;16462;taxable;1;19;9,82
2022-10_14596;2022-10-01;14596;taxable;1;105,6;57,29
2022-10_15296;2022-10-01;15296;taxable;1;34,3;17,54
2022-10_16042;2022-10-01;16042;taxable;1;31,2;15,48
2022-10_15264;2022-10-01;15264;taxable;1;32,8;17,79
2022-10_16256;2022-10-01;16256;taxable;1;9,4;5,1
2022-10_14095;2022-10-01;14095;taxable;1;35,1;18,14
2022-10_15868;2022-10-01;15868;taxable;1;27,3;14,53
2022-10_16247;2022-10-01;16247;taxable;1;45,9;22,77
2022-10_15530;2022-10-01;15530;taxable;1;24,4;12,86
2022-10_14371;2022-10-01;14371;taxable;1;57;27,98
2022-10_15478;2022-10-01;15478;taxable;1;41,8;21,38
2022-10_13604;2022-10-01;13604;taxable;1;67,2;36,46
2022-10_791;2022-10-01;791;taxable;1;76,8;38,49
2022-10_15605;2022-10-01;15605;taxable;1;17,8;8,92
2022-10_15795;2022-10-01;15795;taxable;1;47,2;24,39
2022-10_15566;2022-10-01;15566;taxable;1;14,6;7,17
2022-10_15661;2022-10-01;15661;taxable;1;35,6;19,31
2022-10_13814;2022-10-01;13814;taxable;1;28;14,76
2022-10_13516;2022-10-01;13516;taxable;1;40,2;20,35
2022-10_14945;2022-10-01;14945;taxable;1;12,2;6,37
2022-10_14469;2022-10-01;14469;taxable;1;7,2;3,76
2022-10_15237;2022-10-01;15237;taxable;1;16,9;8,73
2022-10_14905;2022-10-01;14905;taxable;1;15,8;8,33
2022-10_15462;2022-10-01;15462;taxable;1;10,7;5,25
2022-10_16031;2022-10-01;16031;taxable;1;9,9;5,22
2022-10_16191;2022-10-01;16191;taxable;1;12,1;6,13
2022-10_16081;2022-10-01;16081;taxable;1;20,8;10,96
2022-10_14729;2022-10-01;14729;taxable;1;34,7;17,39
2022-10_16077;2022-10-01;16077;taxable;1;25,2;12,89
2022-10_15373;2022-10-01;15373;taxable;1;9,3;4,85
2022-10_11049;2022-10-01;11049;taxable;1;59;32,01
2022-10_16154;2022-10-01;16154;taxable;1;27;13,25
2022-10_14809;2022-10-01;14809;taxable;1;23,6;12,56
2022-10_15201;2022-10-01;15201;taxable;1;39,2;21,06
2022-10_15073;2022-10-01;15073;taxable;1;55,6;30,16
2022-10_15345;2022-10-01;15345;taxable;1;59,9;32,5
2022-10_15756;2022-10-01;15756;taxable;1;21,6;11,61
2022-10_13531;2022-10-01;13531;taxable;1;7,5;3,95
2022-10_16269;2022-10-01;16269;taxable;1;11,1;5,62
2022-10_7086;2022-10-01;7086;taxable;1;69;40,25
2022-10_15784;2022-10-01;15784;taxable;1;18,2;9,4
2022-10_15734;2022-10-01;15734;taxable;1;28,5;14,28
2022-10_16130;2022-10-01;16130;taxable;1;49,5;26,09
2022-10_13895;2022-10-01;13895;taxable;1;12,5;6,2
2022-10_16513;2022-10-01;16513;taxable;1;15,9;8,46
2022-10_16318;2022-10-01;16318;taxable;1;8,7;4,72
2022-10_15677;2022-10-01;15677;taxable;1;19;10,01
2022-10_15185;2022-10-01;15185;taxable;1;175;90,42
2022-10_13517;2022-10-01;13517;taxable;1;48,8;25,97
2022-10_7819;2022-10-01;7819;taxable;1;157;69,08
2022-10_12771;2022-10-01;12771;taxable;1;41,6;22,14
2022-10_15740;2022-10-01;15740;taxable;1;50,5;25,05
2022-10_4679;2022-10-01;4679;taxable;1;83;48,9
2022-10_15688;2022-10-01;15688;taxable;1;17,2;9,24
2022-10_13853;2022-10-01;13853;taxable;1;85,6;51,93
2022-10_16209;2022-10-01;16209;taxable;1;5,7;2,92
2022-10_14982;2022-10-01;14982;taxable;1;13,7;7,29
2022-10_13412;2022-10-01;13412;taxable;1;9,7;5,21
2022-10_15298;2022-10-01;15298;taxable;1;24,2;12,88
2022-10_14149;2022-10-01;14149;taxable;1;28,8;15,18
2022-10_15487;2022-10-01;15487;taxable;1;12,6;6,71
2022-10_15205;2022-10-01;15205;taxable;1;42,2;22,02
2022-10_13230;2022-10-01;13230;taxable;1;68,1;32,46
2022-10_14220;2022-10-01;14220;taxable;1;137;67,95
2022-10_13172;2022-10-01;13172;taxable;1;30;15,19
2022-10_14106;2022-10-01;14106;taxable;1;74,8;40,19
2022-10_16094;2022-10-01;16094;taxable;1;29,9;15,29
2022-10_15811;2022-10-01;15811;taxable;1;14,9;7,39
2022-10_15179;2022-10-01;15179;taxable;1;35,6;17,66
2022-10_14774;2022-10-01;14774;taxable;1;93;40,49
2022-10_14944;2022-10-01;14944;taxable;1;14,5;7,27
2022-10_15767;2022-10-01;15767;taxable;1;16,3;8
2022-10_16152;2022-10-01;16152;taxable;1;50,4;26,04
2022-10_15746;2022-10-01;15746;taxable;1;21,4;10,61
2022-10_14332;2022-10-01;14332;taxable;1;7,8;4,15
2022-10_16192;2022-10-01;16192;taxable;1;27,5;14,63
2022-10_16039;2022-10-01;16039;taxable;1;8,7;4,36
2022-10_16328;2022-10-01;16328;taxable;1;16,2;8,29
2022-10_16564;2022-10-01;16564;taxable;1;9,8;5,01
2022-10_15475;2022-10-01;15475;taxable;1;26,5;13,14
2022-10_15649;2022-10-01;15649;taxable;1;13,2;6,68
2022-10_2361;2022-10-01;2361;taxable;1;50;25,58
2022-10_14828;2022-10-01;14828;taxable;1;61,6;31,51
2022-10_15945;2022-10-01;15945;taxable;1;63,4;33,74
2022-10_15807;2022-10-01;15807;taxable;1;27,9;14,7
2022-10_16210;2022-10-01;16210;taxable;1;5,7;2,95
2022-10_14506;2022-10-01;14506;taxable;1;78;42,32
2022-10_15075;2022-10-01;15075;taxable;1;12;5,95
2022-10_13765;2022-10-01;13765;taxable;1;57;26,13
2022-10_16093;2022-10-01;16093;taxable;1;18,5;9,94
2022-10_12942;2022-10-01;12942;taxable;1;12,9;6,33
2022-10_12857;2022-10-01;12857;taxable;1;109,6;53,8
2022-10_12045;2022-10-01;12045;taxable;1;32;15,71
2022-10_16148;2022-10-01;16148;taxable;1;9,9;4,86
2022-10_12339;2022-10-01;12339;taxable;1;28,1;14,37
2022-10_15095;2022-10-01;15095;taxable;1;12,7;6,82
2022-10_16567;2022-10-01;16567;taxable;1;28;14,76
2022-10_15240;2022-10-01;15240;taxable;1;63,5;32,48
2022-10_793;2022-10-01;793;taxable;1;62,4;33,21
2022-10_812;2022-10-01;812;taxable;1;52,4;28,16
2022-10_16292;2022-10-01;16292;taxable;1;8,7;4,63
2022-10_11736;2022-10-01;11736;taxable;1;29,4;15,95
2022-10_15714;2022-10-01;15714;taxable;1;48,5;25,56
2022-10_3383;2022-10-01;3383;taxable;1;19,5;10,18
2022-10_1366;2022-10-01;1366;taxable;1;59;35,45
2022-10_15631;2022-10-01;15631;taxable;1;24,5;12,15
2022-10_15136;2022-10-01;15136;taxable;1;9,6;4,81
2022-10_15145;2022-10-01;15145;taxable;1;11,8;6,04
2022-10_13096;2022-10-01;13096;taxable;1;13,7;6,72
2022-10_14632;2022-10-01;14632;taxable;1;14,5;7,42
2022-10_15856;2022-10-01;15856;taxable;1;18,8;9,32
2022-10_15615;2022-10-01;15615;taxable;1;25,9;13,38
2022-10_15774;2022-10-01;15774;taxable;1;19;9,72
2022-10_14930;2022-10-01;14930;taxable;1;16,3;8,84
2022-10_15670;2022-10-01;15670;taxable;1;18,2;9,78
2022-10_15429;2022-10-01;15429;taxable;1;12;6,51
2022-10_16246;2022-10-01;16246;taxable;1;19;10,31
2022-10_16010;2022-10-01;16010;taxable;1;23,4;12,33
2022-10_16265;2022-10-01;16265;taxable;1;9,5;5,06
2022-10_14657;2022-10-01;14657;taxable;1;12,3;6,23
2022-10_15741;2022-10-01;15741;taxable;1;19;9,62
2022-10_14141;2022-10-01;14141;taxable;1;24,2;13
2022-10_13453;2022-10-01;13453;taxable;1;7,6;4,04
2022-10_15147;2022-10-01;15147;taxable;1;31,5;15,95
2022-10_16280;2022-10-01;16280;taxable;1;27,8;15,08
2022-10_15564;2022-10-01;15564;taxable;1;22,8;11,54
2022-10_14508;2022-10-01;14508;taxable;1;78;40,7
2022-10_15465;2022-10-01;15465;taxable;1;19,8;9,72
2022-10_14374;2022-10-01;14374;taxable;1;22,9;12,42
2022-10_15930;2022-10-01;15930;taxable;1;38,6;20,54
2022-10_13416;2022-10-01;13416;taxable;1;15,8;8,57
2022-10_15343;2022-10-01;15343;taxable;1;48,5;24,31
2022-10_15733;2022-10-01;15733;taxable;1;21;11,28
2022-10_14300;2022-10-01;14300;taxable;1;7,8;4,07
2022-10_14485;2022-10-01;14485;taxable;1;32,1;17,25
2022-10_16138;2022-10-01;16138;taxable;1;15,3;8,22
2022-10_19822;2022-10-01;19822;taxable;1;92;46,11
2022-10_15155;2022-10-01;15155;taxable;1;15,5;7,69
2022-10_14626;2022-10-01;14626;taxable;1;17,1;8,48
2022-10_15126;2022-10-01;15126;taxable;1;116,4;63,15
2022-10_15026;2022-10-01;15026;taxable;1;7,1;3,48
2022-10_13117;2022-10-01;13117;taxable;1;39;19,14
2022-10_16330;2022-10-01;16330;taxable;1;11,6;5,69
2022-10_15404;2022-10-01;15404;taxable;1;14,4;7,59
2022-10_3507;2022-10-01;3507;taxable;1;108,5;52,22
2022-10_15360;2022-10-01;15360;taxable;1;19,8;9,82
2022-10_14000;2022-10-01;14000;taxable;1;61,6;33,42
2022-10_16319;2022-10-01;16319;taxable;1;14,5;7,19
2022-10_16004;2022-10-01;16004;taxable;1;23;12,12
2022-10_16097;2022-10-01;16097;taxable;1;8,9;4,69
2022-10_19821;2022-10-01;19821;taxable;1;58;29,07
2022-10_1364;2022-10-01;1364;taxable;1;37,5;21,88
2022-10_15120;2022-10-01;15120;taxable;1;8,1;4,19
2022-10_15116;2022-10-01;15116;taxable;1;14,9;7,31
2022-10_14101;2022-10-01;14101;taxable;1;62,4;31,27
2022-10_16047;2022-10-01;16047;taxable;1;9,9;4,86
2022-10_14983;2022-10-01;14983;taxable;1;191,3;116,06
2022-10_16030;2022-10-01;16030;taxable;1;33,7;18,11
2022-10_16324;2022-10-01;16324;taxable;1;14;7,31
2022-10_14756;2022-10-01;14756;taxable;1;23,7;12,73
2022-10_10014;2022-10-01;10014;taxable;1;36;17,16
2022-10_16540;2022-10-01;16540;taxable;1;26;12,9
2022-10_15489;2022-10-01;15489;taxable;1;29,8;15,86
2022-10_15306;2022-10-01;15306;taxable;1;17,2;8,53
2022-10_16277;2022-10-01;16277;taxable;1;23,2;11,39
2022-10_11641;2022-10-01;11641;taxable;1;53;32,15
2022-10_15428;2022-10-01;15428;taxable;1;15,3;8,14
2022-10_15292;2022-10-01;15292;taxable;1;26,7;14,48
2022-10_13957;2022-10-01;13957;taxable;1;36,3;17,82
2022-10_15647;2022-10-01;15647;taxable;1;40;19,63
2022-10_2179;2022-10-01;2179;taxable;1;50;26,87
2022-10_12496;2022-10-01;12496;taxable;1;24;12,4
2022-10_15525;2022-10-01;15525;taxable;1;17;8,96
2022-10_13211;2022-10-01;13211;taxable;1;69;37,43
2022-10_12790;2022-10-01;12790;taxable;1;115;56,45
2022-10_16498;2022-10-01;16498;taxable;1;11,9;6,33
2022-10_15720;2022-10-01;15720;taxable;1;79,8;39,17
2022-10_13291;2022-10-01;13291;taxable;1;23;11,29
2022-10_15196;2022-10-01;15196;taxable;1;11,1;5,91
2022-10_15928;2022-10-01;15928;taxable;1;7;3,65
2022-10_15432;2022-10-01;15432;taxable;1;46;24,72
2022-10_12589;2022-10-01;12589;taxable;1;126,5;77,48
2022-10_15648;2022-10-01;15648;taxable;1;33;18,48
2022-10_15711;2022-10-01;15711;taxable;1;52,6;27,99
2022-10_15892;2022-10-01;15892;taxable;1;12,7;6,36
2022-10_15672;2022-10-01;15672;taxable;1;17,1;9,28
2022-10_15735;2022-10-01;15735;taxable;1;46,5;24,99
2022-10_15769;2022-10-01;15769;taxable;1;13,5;6,91
2022-10_16190;2022-10-01;16190;taxable;1;16,6;9,01
2022-10_14856;2022-10-01;14856;taxable;1;19,2;9,42
2022-10_16317;2022-10-01;16317;taxable;1;19,5;9,97
2022-10_15729;2022-10-01;15729;taxable;1;29,5;14,48
2022-10_16497;2022-10-01;16497;taxable;1;16,9;9,08
2022-10_16056;2022-10-01;16056;taxable;1;19;9,91
2022-10_10459;2022-10-01;10459;taxable;1;67,5;35,57
2022-10_15863;2022-10-01;15863;taxable;1;38,6;19,15
2022-10_15786;2022-10-01;15786;taxable;1;9;4,51
2022-10_15353;2022-10-01;15353;taxable;1;31,7;16,54
2022-10_16135;2022-10-01;16135;taxable;1;8,4;4,34
2022-10_16553;2022-10-01;16553;taxable;1;17,5;9,49
2022-10_16147;2022-10-01;16147;taxable;1;10,1;5,01
2022-10_15818;2022-10-01;15818;taxable;1;12,9;6,33
2022-10_15791;2022-10-01;15791;taxable;1;41,8;22,24
2022-10_15790;2022-10-01;15790;taxable;1;33,2;16,47
2022-10_15282;2022-10-01;15282;taxable;1;9,5;4,91
2022-10_16255;2022-10-01;16255;taxable;1;8,2;4,11
2022-10_16189;2022-10-01;16189;taxable;1;13,3;6,67
2022-10_15047;2022-10-01;15047;taxable;1;7,9;3,88
2022-10_13078;2022-10-01;13078;taxable;1;37;19,5
2022-10_19815;2022-10-01;19815;taxable;1;46;23,77
2022-10_15783;2022-10-01;15783;taxable;1;24;12,28
2022-10_5646;2022-10-01;5646;taxable;1;14,3;7,24
2022-10_8344;2022-10-01;8344;taxable;1;22;11,03
2022-10_15775;2022-10-01;15775;taxable;1;19,3;9,77
2022-10_13514;2022-10-01;13514;taxable;1;33,4;17,43
2022-10_15848;2022-10-01;15848;taxable;1;21,5;10,89
2022-10_12194;2022-10-01;12194;taxable;1;16,3;8
2022-10_10775;2022-10-01;10775;taxable;1;44;22,05
2022-10_14980;2022-10-01;14980;taxable;1;60;29,45
2022-10_13572;2022-10-01;13572;taxable;1;17,1;9,19
2022-10_15035;2022-10-01;15035;taxable;1;31,7;16,54
2022-10_14192;2022-10-01;14192;taxable;1;18,2;9,59
2022-10_15715;2022-10-01;15715;taxable;1;67;33,92
2022-10_15717;2022-10-01;15717;taxable;1;39,8;21,39
2022-10_3506;2022-10-01;3506;taxable;1;62,5;27,21
2022-10_3568;2022-10-01;3568;taxable;1;12;6,08
2022-10_16144;2022-10-01;16144;taxable;1;46,5;24,51
2022-10_15125;2022-10-01;15125;taxable;1;42,1;22,84
2022-10_15655;2022-10-01;15655;taxable;1;38;19,63
2022-10_14923;2022-10-01;14923;taxable;1;135;80,33
2022-10_15801;2022-10-01;15801;taxable;1;13,1;6,5
2022-10_14839;2022-10-01;14839;taxable;1;9,3;4,81
2022-10_11933;2022-10-01;11933;taxable;1;56;28,07
2022-10_13515;2022-10-01;13515;taxable;1;36,2;19,64
2022-10_15583;2022-10-01;15583;taxable;1;13,5;7,11
2022-10_15457;2022-10-01;15457;taxable;1;28,5;15,31
2022-10_13969;2022-10-01;13969;taxable;1;38;19,83
2022-10_15346;2022-10-01;15346;taxable;1;59,9;30,95
2022-10_15797;2022-10-01;15797;taxable;1;17,5;9,49
2022-10_15574;2022-10-01;15574;taxable;1;13,5;6,63
2022-10_15080;2022-10-01;15080;taxable;1;17,9;9,71
2022-10_11587;2022-10-01;11587;taxable;1;27,5;13,11
2022-10_16072;2022-10-01;16072;taxable;1;13,9;6,89
2022-10_15070;2022-10-01;15070;taxable;1;121;60,02
2022-10_15755;2022-10-01;15755;taxable;1;15,2;8,09
2022-10_10814;2022-10-01;10814;taxable;1;43;22,88
2022-10_15582;2022-10-01;15582;taxable;1;30,1;15,4
2022-10_14265;2022-10-01;14265;taxable;1;36;17,16
2022-10_15482;2022-10-01;15482;taxable;1;10,8;5,8
2022-10_11601;2022-10-01;11601;taxable;1;99;49,62
2022-10_15861;2022-10-01;15861;taxable;1;48,4;26,26
2022-10_15667;2022-10-01;15667;taxable;1;15,8;8,57
2022-10_16275;2022-10-01;16275;taxable;1;8,7;4,32
2022-10_16186;2022-10-01;16186;taxable;1;24;12,28
2022-10_12588;2022-10-01;12588;taxable;1;79,5;47,3
2022-10_15473;2022-10-01;15473;taxable;1;68,3;35,29
2022-10_14775;2022-10-01;14775;taxable;1;122;54,24
2022-10_7032;2022-10-01;7032;taxable;1;26,4;13,23
2022-10_14725;2022-10-01;14725;taxable;1;8,9;4,37
2022-10_16261;2022-10-01;16261;taxable;1;16,5;8,1
2022-10_15944;2022-10-01;15944;taxable;1;30,5;15,29
2022-10_16146;2022-10-01;16146;taxable;1;13,8;6,77
2022-10_15576;2022-10-01;15576;taxable;1;16,8;8,42
2022-10_523;2022-10-01;523;taxable;1;59,9;27,18
2022-10_16014;2022-10-01;16014;taxable;1;23,2;11,63
2022-10_13089;2022-10-01;13089;taxable;1;9,2;4,85
2022-10_15732;2022-10-01;15732;taxable;1;11,1;5,62
2022-10_14600;2022-10-01;14600;taxable;1;57,6;28,87
2022-10_15316;2022-10-01;15316;taxable;1;11,1;5,96
2022-10_15163;2022-10-01;15163;taxable;1;40,2;21,39
2022-10_16244;2022-10-01;16244;taxable;1;10,2;5,32
2022-10_16211;2022-10-01;16211;taxable;1;5,7;2,97
2022-10_15471;2022-10-01;15471;taxable;1;27,3;13,82
2022-10_15134;2022-10-01;15134;taxable;1;38,5;20,09
2022-10_19814;2022-10-01;19814;taxable;1;14,1;6,92
2022-10_16124;2022-10-01;16124;taxable;1;20,5;10,27
2022-10_16262;2022-10-01;16262;taxable;1;24,3;12,68
2022-10_13982;2022-10-01;13982;taxable;1;83,7;41,08
